#id	endId
9_24	100
9_25	100
9_26	100
9_27	100
9_28	100
9_36	200
10_1	100
10_2	100
10_3	200
10_4	200
10_5	100
10_6	200
10_7	100
10_8	9
10_9	100
10_10	100
10_11	100
10_12	200
10_13	100
10_14	33
10_15	200
10_17	200
10_18	100
10_19	200
10_20	200
10_21	100
10_23	200
10_24	100
10_25	100
10_26	100
10_27	100
10_28	24
10_36	200
11_1	100
11_2	100
11_3	200
11_4	100
11_5	100
11_6	12
11_7	100
11_8	200
11_9	100
11_10	100
11_11	100
11_12	100
11_13	100
11_14	100
11_15	200
11_17	100
11_18	100
11_19	200
11_20	200
11_21	100
11_23	100
11_24	100
11_25	100
11_26	100
11_27	200
11_28	100
11_36	200
12_1	100
12_2	100
12_3	100
12_4	100
12_5	200
12_6	100
12_7	100
12_8	100
12_9	13
12_10	200
12_11	100
12_12	100
12_13	100
12_14	100
12_15	200
12_17	100
12_18	100
12_19	200
12_20	200
12_21	100
12_23	100
12_24	100
12_25	100
12_26	100
12_27	200
12_28	100
12_36	200
13_1	100
13_2	100
13_3	39
13_4	25
13_5	100
13_6	100
13_7	100
13_8	100
13_9	100
13_10	100
13_11	100
13_12	100
13_13	16
13_14	32
13_15	100
13_17	100
13_18	100
13_19	31
13_20	30
13_21	200
13_23	100
13_24	200
13_25	200
13_26	100
13_27	200
13_28	200
13_36	200
14_1	100
14_2	100
14_3	39
14_4	100
14_5	34
14_6	100
14_7	100
14_8	100
14_9	100
14_10	33
14_11	100
14_12	100
14_13	32
14_14	100
14_15	100
14_17	100
14_18	19
14_19	200
14_20	100
14_21	22
14_23	29
14_24	200
14_25	29
14_26	100
14_27	200
14_28	200
14_36	200
15_1	100
15_2	100
15_3	100
15_4	100
15_5	100
15_6	100
15_7	21
15_8	14
15_9	200
15_10	200
15_11	200
15_12	200
15_13	100
15_14	100
15_15	100
15_17	100
15_18	100
15_19	100
15_20	100
15_21	200
15_23	200
15_24	100
15_25	200
15_26	100
15_27	100
15_28	100
15_36	100
17_1	100
17_2	100
17_3	100
17_4	200
17_5	100
17_6	100
17_7	100
17_8	100
17_9	200
17_10	200
17_11	100
17_12	100
17_13	100
17_14	100
17_15	100
17_17	100
17_18	200
17_19	100
17_20	100
17_21	100
17_23	100
17_24	100
17_25	100
17_26	200
17_27	28
17_28	100
17_36	200
18_1	100
18_2	100
18_3	200
18_4	200
18_5	100
18_6	100
18_7	100
18_8	20
18_9	100
18_10	100
18_11	100
18_12	100
18_13	100
18_14	19
18_15	100
18_17	200
18_18	100
18_19	100
18_20	200
18_21	100
18_23	100
18_24	100
18_25	100
18_26	100
18_27	100
18_28	100
18_36	200
19_1	100
19_2	100
19_3	100
19_4	100
19_5	100
19_6	100
19_7	200
19_8	200
19_9	200
19_10	200
19_11	200
19_12	200
19_13	31
19_14	200
19_15	100
19_17	100
19_18	100
19_19	100
19_20	200
19_21	200
19_23	100
19_24	200
19_25	200
19_26	100
19_27	100
19_28	200
19_36	100
20_1	100
20_2	100
20_3	100
20_4	100
20_5	200
20_6	200
20_7	200
20_8	200
20_9	200
20_10	200
20_11	200
20_12	200
20_13	30
20_14	100
20_15	100
20_17	100
20_18	200
20_19	200
20_20	100
20_21	100
20_23	100
20_24	200
20_25	200
20_26	100
20_27	100
20_28	200
20_36	200
21_1	100
21_2	100
21_3	200
21_4	200
21_5	100
21_6	100
21_7	100
21_8	100
21_9	100
21_10	100
21_11	100
21_12	100
21_13	200
21_14	22
21_15	200
21_17	100
21_18	100
21_19	200
21_20	100
21_21	100
21_23	200
21_24	200
21_25	200
21_26	100
21_27	100
21_28	200
21_36	200
23_1	100
23_2	100
23_3	100
23_4	100
23_5	200
23_6	100
23_7	100
23_8	100
23_9	100
23_10	200
23_11	100
23_12	100
23_13	100
23_14	29
23_15	200
23_17	100
23_18	100
23_19	100
23_20	100
23_21	200
23_23	100
23_24	100
23_25	100
23_26	100
23_27	100
23_28	100
23_36	100
24_1	100
24_2	35
24_3	200
24_4	200
24_5	100
24_6	100
24_7	200
24_8	100
24_9	100
24_10	100
24_11	100
24_12	100
24_13	200
24_14	200
24_15	100
24_17	100
24_18	100
24_19	200
24_20	200
24_21	200
24_23	100
24_24	100
24_25	100
24_26	100
24_27	100
24_28	100
24_36	100
25_1	100
25_2	100
25_3	100
25_4	100
25_5	100
25_6	100
25_7	100
25_8	100
25_9	100
25_10	100
25_11	100
25_12	100
25_13	200
25_14	29
25_15	200
25_17	100
25_18	100
25_19	200
25_20	200
25_21	200
25_23	100
25_24	100
25_25	100
25_26	100
25_27	100
25_28	200
25_36	200
26_1	200
26_2	200
26_3	200
26_4	200
26_5	100
26_6	15
26_7	100
26_8	100
26_9	100
26_10	100
26_11	100
26_12	100
26_13	100
26_14	100
26_15	100
26_17	200
26_18	100
26_19	100
26_20	100
26_21	100
26_23	100
26_24	100
26_25	100
26_26	100
26_27	100
26_28	100
26_36	100
27_1	6
27_2	100
27_3	100
27_4	100
27_5	100
27_6	100
27_7	100
27_8	100
27_9	100
27_10	100
27_11	200
27_12	200
27_13	200
27_14	200
27_15	100
27_17	28
27_18	100
27_19	100
27_20	100
27_21	100
27_23	100
27_24	100
27_25	100
27_26	100
27_27	100
27_28	100
27_36	200
28_1	100
28_2	100
28_3	100
28_4	100
28_5	100
28_6	100
28_7	100
28_8	100
28_9	100
28_10	24
28_11	100
28_12	100
28_13	200
28_14	200
28_15	100
28_17	100
28_18	100
28_19	200
28_20	200
28_21	200
28_23	100
28_24	100
28_25	200
28_26	100
28_27	100
28_28	100
28_36	100
36_1	200
36_2	37
36_3	100
36_4	100
36_5	100
36_6	100
36_7	100
36_8	200
36_9	200
36_10	200
36_11	200
36_12	200
36_13	200
36_14	200
36_15	100
36_17	200
36_18	200
36_19	100
36_20	200
36_21	200
36_23	100
36_24	100
36_25	200
36_26	100
36_27	200
36_28	100
36_36	100
37_1	200
37_2	200
37_3	200
37_4	200
37_5	100
37_6	200
37_7	100
37_8	100
37_9	100
37_10	100
37_11	100
37_12	100
37_13	200
37_14	200
37_15	100
37_17	100
37_18	100
37_19	200
37_20	200
37_21	100
37_23	100
37_24	100
37_25	200
37_26	100
37_27	38
37_28	100
37_36	200
